country,year,yield_kg_ha,area_harvested_ha,nitrogen_mineral_fertilizer_kg_ha,phosphorus_mineral_fertilizer_kg_ha,potassium_mineral_fertilizer_kg_ha,nitrogen_organic_fertilizer_kg_ha,nitrogen_atmospheric_deposition_kg_ha,nitrogen_biological_fixation_kg_ha,nitrogen_leaching_kg_ha,nitrogen_seed_kg_ha
Ethiopia,1970,1073.1,847100,2.7151457915240234,3.5414945106835085,,57.52936512808405,104.28925616810295,80.41195679376696,11.777387557549286,8.114761657419432
Ethiopia,1971,1087.3,863600,2.599583140342751,3.583835108846688,,57.62913154238073,105.96900544233442,81.05703937007874,11.785784622510423,8.039583835108846
Ethiopia,1972,1100.2,882100,5.579866228318784,6.899444507425462,,56.49736787212335,105.64497471941957,81.7497077428863,11.857460151910214,7.133190681328648
Ethiopia,1973,1020.0,871000,6.973593570608496,12.451205510907004,,57.69043673938002,107.94106429391503,81.42746808266361,12.235446727898966,7.28573972445465
Ethiopia,1974,1000.0,882000,9.055555555555555,12.649659863945578,,56.47826031746031,107.02452426303854,75.70405498866214,12.201207596371882,6.40716439909297
Ethiopia,1975,1122.5,749100,14.684287812041116,26.698705112802028,0.2669870511280203,65.16089267120545,123.66196649312508,80.26553036977707,14.500607262047792,6.630775463890002
Ethiopia,1976,1870.5,732700,15.012965743141804,22.043128156134845,,66.01805732223283,126.88732564487512,74.60559901733315,14.704908011464447,6.898113825576634
Ethiopia,1977,1409.2,672600,10.918822479928636,27.90365744870651,,73.25375364258102,140.3246556645852,98.24062875408862,15.742632917038359,7.5291498661909015
Ethiopia,1978,1093.8,849400,11.597598304685661,22.314574994113492,0.2354603249352484,58.36271497527667,113.45557605368495,69.5224802213327,12.832302801977868,6.188527666588179
Ethiopia,1979,1507.9,910100,17.580485660916384,23.294143500714206,0.10987803538072739,55.25501538292495,108.83336556422371,79.49631908581475,12.809051642676629,6.4042637072849145
Ethiopia,1980,1750.2,870780,18.374331059509863,31.006683662922896,0.22967913824387332,57.31648889501366,118.24865155377938,102.96616148740209,13.30073083901789,6.269769172466066
Ethiopia,1981,1297.3,730950,21.889322115055748,41.04247896572953,,68.83149298857651,134.55478131199126,108.65298255694643,15.955230863944182,7.88201997400643
Ethiopia,1982,1838.5,652470,21.916716477385933,31.572332827562953,0.15326375159011144,77.7573194169847,150.51836390945178,120.7242345241927,17.743135469830033,9.323104663815961
Ethiopia,1983,1955.6,819670,20.13005233813608,36.60009516024741,0.12200031720082473,64.02641014066637,123.27056388546609,106.27016677443362,14.818287237546818,6.80237583417717
Ethiopia,1984,1867.4,820890,15.836470172617524,24.363800265565423,,62.11829161032538,117.28139385301318,85.36311783551999,14.007305363690627,6.957525125169024
Ethiopia,1985,1149.1,946670,5.2816715434100585,10.563343086820117,,56.44637286488428,104.57824532307986,62.039584860616685,11.817441769571234,6.223216432336506
Ethiopia,1986,1197.9,865000,14.335260115606937,39.30635838150289,,65.62333884393064,119.793752716763,64.26355838150289,14.558193757225435,6.395414913294798
Ethiopia,1987,1680.1,1048210,18.984745423149942,38.637295961687066,,50.48221816239113,94.45062124955878,54.16075233016284,11.994918193873364,5.609633184190191
Ethiopia,1988,1793.2,1095250,27.573613330289888,35.69961196073956,,48.71162309974892,91.26057658068935,53.89472613558548,12.49968591645743,5.136693996804383
Ethiopia,1989,1653.8,1021100,37.214768387033594,45.04945646851435,,54.509785231612966,101.35423817451769,56.728611203603954,14.623433845852512,5.440766526295172
Ethiopia,1990,1608.7,1277790,32.947510936851906,27.39104234655147,,44.33172571392795,75.92983401028337,49.39854991821817,12.161096267774829,4.2109395910126075
Ethiopia,1991,1221.4,1154340,22.95684113865932,34.305317324185246,,49.593110781918675,97.64358455914201,72.34725574787325,12.214306270249665,4.760936985636814
Ethiopia,1992,1527.5,999190,30.12440076461934,58.04701808464856,,58.47030694862839,123.78703159559242,66.77423843313083,14.706501466187612,5.022373122229006
Ethiopia,1993,1736.4,838450,35.183970421611306,23.92032917884191,0.39596875186355773,55.18669342238655,122.84810221241577,63.67885371817043,14.555735702784903,6.823689307651023
Ethiopia,1994,1123.5,1242740,32.026007048940244,26.628578785586686,0.26715161658914977,39.659586397798414,87.79470404107053,41.70544739849043,11.134518000547178,5.321043983455912
Ethiopia,1995,1359.0,1464080,31.077536746625867,26.444456587071745,0.20614870772088958,31.976685017212173,76.70620621823944,48.26533474946724,9.503090678105021,4.827738033440796
Ethiopia,1996,1682.6,1880580,43.08484616448117,22.372884961022663,0.14444288464197214,26.01831317997639,64.78430680960129,39.14459624158504,9.513450052643332,3.4973843176041433
Ethiopia,1997,1738.1,1718270,31.494468273321424,19.690502656741955,0.14052186210548984,29.713349066211943,76.35906650293609,41.53636768377496,9.093047832994815,3.74134268770333
Ethiopia,1998,1617.5,1449300,51.81811909197543,26.753547229697094,0.14577568481335815,38.13340143517561,82.38632291451046,48.785205340509215,12.808492168633133,4.9103238804940315
Ethiopia,1999,1715.0,1651350,48.32107063917401,23.259009900990097,0.10966233687588942,33.1656455021649,69.73277948345293,40.61263808399189,11.464933357555939,4.340339177036969
Ethiopia,2000,1620.4,1655750,46.2026272082138,21.313507473954402,0.09114244300166088,30.853342895968595,67.25538662237658,50.13550246112034,10.7909313000151,4.984666102974482
Ethiopia,2001,1742.7,1892690,46.066709286782306,19.284929914566042,0.06378609280970471,29.854208771642476,55.90732629220844,51.34618183643386,9.30894784671552,3.624661619176939
Ethiopia,2002,1875.3,1506759,60.77514718677639,23.984848273678804,0.060092888112830256,38.480500730375596,74.10590897416242,59.975433297561196,14.176698596125856,5.399115386070366
Ethiopia,2003,1531.9,1791115,14.25787847234823,6.47994126563621,0.03370168861295897,31.845329752695946,65.42660515935604,47.58926841660083,8.271512214458593,4.838031170527855
Ethiopia,2004,1613.2,1801566,49.08507376360344,21.249108830872697,2.772638304674933,32.18663634859894,77.38240214346851,57.112903995745924,10.981151897848871,5.208787299493885
Ethiopia,2005,2006.0,1950115,47.81846198813916,18.366814264799768,2.553695551288001,28.742942082902804,76.547536632455,55.899792114824,9.87670393797289,4.379094873892053
Ethiopia,2006,2640.4,1526125,59.83389302973217,21.210119747727088,3.2700813498239,42.84341669260382,103.84711789663363,73.34482031288393,14.11396962896224,5.834943992136949
Ethiopia,2007,1823.2,2348154,42.80362361242065,21.92380993750836,1.7763339627639414,31.45279010661141,69.4731507388357,59.81222513514872,10.805551509824314,3.9976527519063914
Ethiopia,2008,1883.4,2374989,42.05766847762242,20.859529875717318,1.4986000356212177,36.359087684195586,67.79905422719852,63.80039528604132,11.978070930012729,4.107032748362203
Ethiopia,2009,1984.9,2416619,45.179649750333006,21.577013174190885,1.2539053115116616,40.2371040283967,73.07294993542631,62.584869687774535,12.945338094254824,3.923444903809827
Ethiopia,2010,2192.6,2499980,52.22861782894263,24.596003168025344,0.04221177769422155,41.88948471587773,73.13682385459084,60.759067792542346,14.623586908695268,3.494139193113545
Ethiopia,2011,2221.3,2587240,55.11684265858598,24.10728266415176,0.048945710486850855,39.73166544271115,71.4491881696325,68.00326011502605,13.9450421298372,3.4461661075122527
Ethiopia,2012,2593.3,2583900,82.99276287782035,32.50806145748675,0.05717713533805488,40.92205112426951,72.06810979527071,81.67737199582027,17.816742637098958,3.8306502573629015
Ethiopia,2013,2740.3,2593066,64.27468487111396,28.600737505331526,0.08002110243241013,42.31141609970591,76.06118860838868,82.1961019117909,15.096800197141146,4.048911211669892
Ethiopia,2014,2950.2,2620090,85.70411703414769,29.32040884091768,1.8227694468510625,43.506555042002375,74.09265830563072,74.87898331736696,17.75844974790942,3.983791396478747
Ethiopia,2015,2776.5,2957510,87.54205395755213,30.102325943107548,0.8222795527318589,38.92879767101379,66.88672954613847,73.9706407078928,16.056673925024764,3.6889868166126227
Ethiopia,2016,2946.8,3002159,101.07059619427218,29.577663941183662,0.846544103759994,39.73368432518065,66.75625198398885,72.16730083250089,19.52374661035608,3.669816422114885
Ethiopia,2017,3311.9,3166792,113.65223860613517,30.143869884728772,0.4268215279058429,38.22618410050297,64.25634594883402,70.61462240020816,19.538216845312228,3.457557711400054
Ethiopia,2018,3336.8,3255852,92.1652765543397,17.1098944300908,0.26384798817636673,33.314781630123235,63.95776230000626,66.22512998133821,14.472068263545149,3.2906638262427164
Ethiopia,2019,3655.2,3161370,111.30016416933165,24.479341551289473,0.49962199932307827,37.08584107523004,67.26601195051512,66.4675077893445,18.473212468012285,3.7671366211484263
Ethiopia,2020,3711.2,2949450,148.21627761108005,37.702702537761276,0.3697706352031735,39.76137771448914,73.62120059672142,76.86778012849854,23.396272932241605,4.091455932461985
Ethiopia,2021,3433.0,3419008,115.2495109692636,31.772198251656622,0.6064156620867808,33.96506904926809,64.73863825413687,64.20693786033843,20.711599651126875,3.508319050438022
Ethiopia,2022,3488.5,3397887,134.47960453069805,37.81893276615732,0.20762903533872668,34.861650461007095,64.2373521838719,65.95175045550367,19.5063887056868,3.558977564586462
Ethiopia,2023,3409.2,3376888,160.40848852553,35.97538917488528,0.4733885162907387,37.21984472093833,64.63680877186331,69.00533215789211,23.650100092155856,3.679064955663321
Ethiopia,2024,3443.6,3397928,,,,,,,,
Ivory Coast,1961,529.4,187000,9.133689839572192,1.6565668449197861,21.584438502673798,11.09805668449198,46.818417112299464,48.25947112299465,3.1372582887700533,10.057672727272726
Ivory Coast,1962,762.3,223000,7.762331838565022,1.922896860986547,12.99340807174888,9.477993721973094,41.88030224215247,50.5355399103139,2.6857331838565024,8.597343049327355
Ivory Coast,1963,681.5,248000,9.78225806451613,2.450741935483871,17.697741935483872,9.576332258064518,39.26533064516129,44.529918951612906,2.903976209677419,7.919057258064517
Ivory Coast,1964,692.9,254000,13.501968503937007,2.5730866141732283,19.567086614173228,10.20722283464567,40.33050866141732,48.02375275590551,3.403255511811024,7.786188582677166
Ivory Coast,1965,695.0,259000,16.928571428571427,2.9324787644787644,20.89260617760618,10.508394594594593,41.20905675675675,43.82848030888031,3.5568911196911195,7.812801544401544
Ivory Coast,1966,714.3,273000,14.652014652014651,3.1941391941391943,19.761904761904763,10.564515018315019,40.491681318681316,39.80986153846153,3.5781043956043956,7.528004761904762
Ivory Coast,1967,774.6,284000,15.81338028169014,4.279401408450704,18.429507042253523,10.397326056338029,40.49018345070423,39.74942042253521,3.6576341549295774,7.562760563380282
Ivory Coast,1968,686.7,300000,11.94,3.35502,16.631816666666666,12.285931000000001,39.463867,37.914283000000005,3.6451863333333336,7.370411333333333
Ivory Coast,1969,780.8,333000,13.492492492492492,3.2876756756756755,18.241306306306306,11.411035135135135,36.80653753753754,36.5506987987988,3.6293540540540543,7.037307507507507
Ivory Coast,1970,704.6,328000,21.234756097560975,3.6554878048780486,29.91542682926829,11.929639329268293,38.344282621951216,37.05943475609756,4.254830182926829,7.211168902439024
Ivory Coast,1971,832.1,336500,19.27637444279346,4.354817236255572,34.50111441307578,11.915191976225854,38.892925408618126,34.97964725111441,4.306663893016345,7.065775334323924
Ivory Coast,1972,671.6,336500,26.099554234769688,4.87762852897474,44.15402674591382,12.548563150074294,39.437799999999996,35.0411485884101,5.114467459138187,7.187692124814264
Ivory Coast,1973,668.6,347000,22.827089337175792,5.261527377521614,42.35631123919308,12.74321873198847,41.33876685878963,35.4591636887608,4.837404610951009,7.702534582132565
Ivory Coast,1974,641.7,374000,20.85427807486631,5.229085561497326,41.28029411764706,12.592559090909093,40.46309598930481,35.4811013368984,4.603805882352941,7.916489572192513
Ivory Coast,1975,521.7,506000,21.541501976284586,4.825296442687747,34.77470355731225,10.010790711462452,31.3359837944664,30.026232015810276,4.156308300395257,6.018114229249012
Ivory Coast,1976,476.8,518000,23.166023166023166,5.302702702702702,30.444015444015445,10.72895772200772,31.939979922779923,29.869563127413127,4.462393822393822,5.7804828185328185
Ivory Coast,1977,479.6,538000,32.52788104089219,6.807434944237918,32.39776951672862,11.380378624535314,33.081229182156136,29.535115799256502,5.5288637546468395,5.521483643122676
Ivory Coast,1978,468.1,564000,28.19148936170213,5.4886524822695035,26.48936170212766,11.560844326241135,33.00593067375886,29.2687969858156,5.131317730496455,5.514132269503547
Ivory Coast,1979,470.9,584000,28.424657534246574,6.271232876712329,35.86196917808219,11.780819349315069,32.70042619863014,29.74399006849315,5.198629623287671,5.431947602739726
Ivory Coast,1980,812.0,468000,42.0940170940171,9.223076923076922,41.677350427350426,15.097854487179488,41.456180555555555,35.606574786324785,7.22897264957265,7.4002040598290595
Ivory Coast,1981,816.3,490000,25.102040816326532,7.830204081632653,43.70204081632653,14.928389795918367,41.883996530612244,33.42990693877551,5.291800408163264,7.362711428571429
Ivory Coast,1982,826.9,520000,24.615384615384617,6.1207692307692305,30.486538461538462,14.112190576923078,40.81143057692307,32.61774538461538,5.283976538461539,7.1813575
Ivory Coast,1983,745.5,550000,18.181818181818183,5.152727272727272,31.992727272727272,13.354853090909092,38.952436,33.03779509090909,4.489152363636364,6.649274
Ivory Coast,1984,873.9,595000,18.48739495798319,6.228571428571429,30.689075630252102,12.697570756302522,38.91412252100841,30.69911327731092,4.388253613445379,6.57913025210084
Ivory Coast,1985,900.6,533000,15.384615384615385,5.971482176360225,40.48780487804878,13.845233583489682,47.292067917448406,34.057442213883675,4.307508255159474,7.25434746716698
Ivory Coast,1986,700.0,600000,13.333333333333334,5.086666666666667,20.75,13.1869145,43.949825,32.8299945,3.970716166666667,6.5568108333333335
Ivory Coast,1987,676.5,643000,6.998444790046657,4.136236391912909,14.586314152410575,12.407963141524107,41.94597884914463,30.878926905132193,3.181437169517885,6.526530482115087
Ivory Coast,1988,699.5,659000,12.44309559939302,5.292867981790592,14.232169954476479,12.406270257966616,44.868115326251896,30.869966312594837,3.725563581183611,6.346428528072838
Ivory Coast,1989,699.3,675000,14.814814814814815,7.105185185185185,17.214814814814815,12.450863555555554,42.236497481481486,31.242459851851855,3.9716542222222215,6.46367037037037
Ivory Coast,1990,1190.4,406596,33.20249092465248,8.793003374356855,31.2324764631231,21.245209249476137,78.63253917893928,54.58565258881051,7.5692908931716,10.532625751360072
Ivory Coast,1991,1253.3,396560,40.85132136372806,9.345370183578778,29.301997175711115,22.42166002622554,76.1694480028243,58.94139071010692,8.569464141617914,12.09515306637079
Ivory Coast,1992,1319.5,389538,46.20858555519616,10.073471651032762,21.30729222822934,23.54512756136757,79.58179715457798,62.164019428143085,9.329884119136002,12.03566815047569
Ivory Coast,1993,1389.2,372144,80.61395588804334,16.402252891353886,22.303194462358658,25.258462584375938,95.2134902080915,56.07437551055505,13.113088213164795,12.73779854034997
Ivory Coast,1994,1462.7,366454,92.7810857570118,19.036495712968065,33.97425051984697,26.315976357196266,90.43751139297156,64.31281579679852,14.541303956294652,12.791203261528048
Ivory Coast,1995,1540.0,358449,100.43269753856197,19.461624945250232,32.41744292772473,27.588812634433353,106.18036596559064,67.34089731035657,15.561032392334754,12.635148654341345
